,scientific_name,park_name,observations,category,common_names,conservation_status
58,Sparganium emersum ssp. emersum,Great Smoky Mountains National Park,80,Vascular Plant,Emersed Bur-Reed,
59,Ribes rotundifolium,Yosemite National Park,147,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",
60,Pachysandra procumbens,Yellowstone National Park,213,Vascular Plant,American Pachysandra,
61,Helianthus annuus,Yellowstone National Park,265,Vascular Plant,Common Sunflower,
62,Blarina brevicauda,Bryce National Park,77,Mammal,"Northern Short Tailed Shrew, Northern Short-Tailed Shrew",
63,Polygonum viviparum,Great Smoky Mountains National Park,107,Vascular Plant,"Alpine Bistort, Serpent-Grass, Viviparous Bistort",
64,Astragalus purshii var. purshii,Yosemite National Park,156,Vascular Plant,"Pursh's Milkvetch, Pursh's Milk-Vetch, Woollypod Milkvetch",
65,Orthocarpus luteus,Great Smoky Mountains National Park,47,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",
66,Liparis loeselii,Yosemite National Park,157,Vascular Plant,"Fen Orchid, Fen Orchis",
67,Cornus canadensis,Bryce National Park,89,Vascular Plant,"Bunchberry Dogwood, Canadian Bunchberry",
68,Arctostaphylos uva-ursi,Yosemite National Park,154,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",
69,Isatis tinctoria,Yosemite National Park,127,Vascular Plant,Dyer's Woad,
70,Eschscholzia hypecoides,Bryce National Park,106,Vascular Plant,San Benito Poppy,
71,Tofieldia glabra,Great Smoky Mountains National Park,75,Vascular Plant,"Smooth Bog-Asphodel, Smooth Tofieldia",Species of Concern
72,Odocoileus virginianus,Great Smoky Mountains National Park,36,Mammal,White-Tailed Deer,
73,Galium pilosum var. puncticulosum,Bryce National Park,137,Vascular Plant,Hairy Bedstraw,
74,Physaria didymocarpa var. didymocarpa,Yellowstone National Park,244,Vascular Plant,Common Twinpod,
75,Thamnophis sirtalis sirtalis,Great Smoky Mountains National Park,63,Reptile,Common Garter Snake,
76,Krigia montana,Yellowstone National Park,214,Vascular Plant,"False Dandelion, Mountain Krigia",
77,Puma concolor,Bryce National Park,92,Mammal,Panther (Mountain Lion),
78,Sphaeralcea coccinea,Bryce National Park,108,Vascular Plant,"Copper Mallow, Orange Globemallow, Red Falsemallow, Scarlet Globemallow",
79,Hypentelium nigricans,Great Smoky Mountains National Park,54,Fish,Northern Hog Sucker,
80,Cryptantha affinis,Bryce National Park,105,Vascular Plant,"Common Cryptantha, Quill Cryptantha",
81,Pellaea atropurpurea,Bryce National Park,115,Vascular Plant,"Purple Cliff-Brake, Purple-Stem Cliff-Brake",
82,Platanus occidentalis,Great Smoky Mountains National Park,98,Vascular Plant,Sycamore,
83,Plantago rugelii,Yellowstone National Park,223,Vascular Plant,"Black-Seed Plantain, White Man's Footprint",
84,Lewisia nevadensis,Bryce National Park,82,Vascular Plant,"Nevada Bitterroot, Nevada Bitter-Root, Nevada Lewisia",
85,Arenaria congesta var. subcongesta,Great Smoky Mountains National Park,90,Vascular Plant,"Ballhead Sandwort, Loosehead Sandwort",
86,Calystegia sepium,Yellowstone National Park,218,Vascular Plant,Hedge Bindweed,
87,Carex backii,Great Smoky Mountains National Park,58,Vascular Plant,"Back's Sedge, Rocky Mountain Sedge",
88,Betula nigra,Bryce National Park,106,Vascular Plant,River Birch,
89,Quercus,Bryce National Park,59,Vascular Plant,Oak,
90,Spiraea prunifolia,Great Smoky Mountains National Park,48,Vascular Plant,"Bridal-Wreath, Spiraea",
91,Andropogon glomeratus,Bryce National Park,65,Vascular Plant,"Bushy Bluestem, Marsh Broomsedge",
92,Didymodon fallax var. reflexus,Yellowstone National Park,208,Nonvascular Plant,Didymodon Moss,
93,Rhynchospora alba,Bryce National Park,88,Vascular Plant,White Beaksedge,
94,Accipiter cooperii,Bryce National Park,95,Bird,Cooper's Hawk,Species of Concern
95,Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,Longtail Salamander,
96,Scleria oligantha,Great Smoky Mountains National Park,70,Vascular Plant,"Little-Headed Nutrush, Nut-Rush",
97,Orthotrichum stellatum,Great Smoky Mountains National Park,71,Nonvascular Plant,Stellate Orthotrichum Moss,
98,Rhododendron maximum,Bryce National Park,100,Vascular Plant,"Great Laurel, Rosebay Rhododendron",
99,Morus alba,Great Smoky Mountains National Park,49,Vascular Plant,White Mulberry,
100,Sambucus racemosa var. racemosa,Great Smoky Mountains National Park,77,Vascular Plant,"Bunchberry Elder, Red Elderberry",
101,Nemacladus interior,Bryce National Park,100,Vascular Plant,Sierra Threadplant,
102,Sphagnum subsecundum,Great Smoky Mountains National Park,73,Nonvascular Plant,Sphagnum,
103,Euphagus cyanocephalus,Bryce National Park,79,Bird,Brewer's Blackbird,
104,Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",
105,Crotalaria sagittalis,Bryce National Park,56,Vascular Plant,Arrowhead Rattlebox,
106,Erechtites hieracifolia,Yosemite National Park,134,Vascular Plant,Burnweed,
107,Scrophularia marilandica,Bryce National Park,89,Vascular Plant,"Carpenter's Square Figwort, Figwort",
108,Viola blanda var. blanda,Great Smoky Mountains National Park,108,Vascular Plant,Sweet White Violet,
109,Hordeum murinum ssp. murinum,Yosemite National Park,115,Vascular Plant,Wall Barley,
110,Calcarius lapponicus,Bryce National Park,91,Bird,Lapland Longspur,
111,Agrostis mertensii,Yosemite National Park,135,Vascular Plant,Northern Agrostis,
112,Seiurus aurocapilla,Bryce National Park,86,Bird,Ovenbird,
113,Chelone lyonii,Yellowstone National Park,244,Vascular Plant,Pink Turtlehead,
114,Viburnum edule,Yosemite National Park,136,Vascular Plant,Squashberry,
115,Platanthera obtusata,Great Smoky Mountains National Park,116,Vascular Plant,"Bluntleaved Orchid, Northern Small Bog Orchid",
116,Pseudacris maculata,Bryce National Park,109,Amphibian,Boreal Chorus Frog,
117,Chasmanthium sessiliflorum,Yellowstone National Park,257,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",
118,Dichanthelium acuminatum var. acuminatum,Yosemite National Park,123,Vascular Plant,Tapered Rosette Grass,Species of Concern
119,Osmorhiza berteroi,Yellowstone National Park,263,Vascular Plant,"Mountain Sweetroot, Sweet Cicely, Sweetcicely",
120,Hackelia nervosa,Yosemite National Park,168,Vascular Plant,"Sierra Stickseed, Sierran Stickseed",
121,Poa sylvestris,Bryce National Park,118,Vascular Plant,Woodland Bluegrass,
122,Amorpha fruticosa,Yellowstone National Park,258,Vascular Plant,"False Indigo, False Indigo-Bush",
123,Anthemis cotula,Yellowstone National Park,252,Vascular Plant,"Mayweed, Stinking Chamomile",
124,Rumex obtusifolius,Great Smoky Mountains National Park,27,Vascular Plant,Bitter Dock,
125,Clarkia rhomboidea,Great Smoky Mountains National Park,92,Vascular Plant,"Broadleaf Clarkia, Diamond Clarkia, Diamond Fairyfan",
126,Berberis canadensis,Great Smoky Mountains National Park,74,Vascular Plant,American Barberry,
127,Poa bolanderi,Yosemite National Park,135,Vascular Plant,Bolander's Bluegrass,
128,Zonotrichia atricapilla,Bryce National Park,94,Bird,Golden-Crowned Sparrow,
129,Pinus,Bryce National Park,94,Vascular Plant,Pine,
130,Potentilla fruticosa,Bryce National Park,71,Vascular Plant,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",
131,Melanerpes erythrocephalus,Great Smoky Mountains National Park,84,Bird,Red-Headed Woodpecker,
132,Digitaria violascens,Yosemite National Park,132,Vascular Plant,Violet Crabgrass,
133,Hypochaeris radicata,Great Smoky Mountains National Park,57,Vascular Plant,"Cat's Ear, Spotted Cat's-Ear",
134,Phacelia egena,Yellowstone National Park,282,Vascular Plant,"Kaweah River Phacelia, Kaweah River Scorpion-Weed",
135,Atrichum oerstedianum,Great Smoky Mountains National Park,74,Nonvascular Plant,Oersted's Atrichum Moss,
136,Pinus lambertiana,Bryce National Park,116,Vascular Plant,"California Sugar Pine, Sugar Pine",
137,Thalictrum alpinum,Bryce National Park,110,Vascular Plant,"Alpine Meadowrue, Alpine Meadow-Rue",
138,Jeffersonia diphylla,Yellowstone National Park,258,Vascular Plant,Twinleaf,
139,Triosteum perfoliatum,Yellowstone National Park,257,Vascular Plant,Feverwort,
140,Vaccinium parvifolium,Yellowstone National Park,253,Vascular Plant,Red Huckleberry,
141,Sematophyllum demissum,Bryce National Park,109,Nonvascular Plant,Sematophyllum Moss,
142,Phlox stolonifera,Yellowstone National Park,247,Vascular Plant,Creeping Phlox,
143,Cryptantha muricata,Yellowstone National Park,267,Vascular Plant,"Pointed Catseye, Pointed Cryptantha, Prickly Cryptantha",
144,Pseudoroegneria spicata,Yosemite National Park,156,Vascular Plant,"Bluebunch Wheatgrass, Bluebunch-Wheat Grass",
145,Prosartes maculatum,Great Smoky Mountains National Park,105,Vascular Plant,Spotted Mandarin,
146,Cuscuta compacta,Yosemite National Park,140,Vascular Plant,"Bracted Dodder, Sessile Dodder",
147,Salix farriae,Bryce National Park,108,Vascular Plant,Farr's Willow,
148,Coreopsis tripteris,Bryce National Park,86,Vascular Plant,Tall Tickseed,
149,Vermivora celata,Yosemite National Park,106,Bird,Orange-Crowned Warbler,
150,Malus angustifolia,Great Smoky Mountains National Park,71,Vascular Plant,"Narrowleaf Crabapple, Southern Crabapple",
151,Cyanocitta stelleri,Yellowstone National Park,230,Bird,Steller's Jay,
152,Platanthera dilatata var. dilatata,Yellowstone National Park,257,Vascular Plant,Scentbottle,
153,Cheilanthes intertexta,Yosemite National Park,124,Vascular Plant,Coastal Lipfern,
154,Carex lenticularis var. lipocarpa,Bryce National Park,112,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",
155,Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",
156,Juncus effusus var. solutus,Yosemite National Park,131,Vascular Plant,Lamp Rush,
157,Thelypodium sagittatum,Yosemite National Park,164,Vascular Plant,"Arrow Thelypody, Slender Thelypody",
158,Lychnis coronaria,Yellowstone National Park,260,Vascular Plant,Rose Campion,
159,Carduelis tristis,Bryce National Park,110,Bird,American Goldfinch,
160,Cicuta douglasii,Bryce National Park,119,Vascular Plant,"Douglas' Waterhemlock, Water Hemlock, Western Water Hemlock",
161,Melanthium latifolium,Yosemite National Park,167,Vascular Plant,"Bunch-Flower, Hybrid Bunchflower",
162,Lespedeza procumbens,Yellowstone National Park,233,Vascular Plant,"Low Bush-Clover, Trailing Bush-Clover",
163,Juncus ensifolius var. montanus,Bryce National Park,83,Vascular Plant,Rocky Mountain Rush,
164,Osmorhiza depauperata,Great Smoky Mountains National Park,67,Vascular Plant,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot",
165,Cucumis melo,Bryce National Park,80,Vascular Plant,Canteloupe,
166,Viola blanda var. blanda,Yellowstone National Park,245,Vascular Plant,Sweet White Violet,
167,Oncorhynchus mykiss,Yosemite National Park,118,Fish,Rainbow Trout,
168,Ajuga reptans,Great Smoky Mountains National Park,60,Vascular Plant,"Bugleweed, Carpet-Bugel",
169,Ranunculus pusillus,Great Smoky Mountains National Park,82,Vascular Plant,"Aquatic Buttercup, Pursh Buttercup",
170,Taraxacum ceratophorum,Yosemite National Park,151,Vascular Plant,"Common Dandelion, Woolbearing Dandelion",
171,Oxytropis parryi,Great Smoky Mountains National Park,66,Vascular Plant,"Parry Pointvetch, Parry's Crazyweed, Parry's Oxytrope",
172,Cynosurus echinatus,Bryce National Park,75,Vascular Plant,Bristly Dogstail Grass,
173,Platanthera stricta,Bryce National Park,76,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",
174,Dodecatheon subalpinum,Yellowstone National Park,206,Vascular Plant,Sierra Shootingstar,
175,Rumex paucifolius,Great Smoky Mountains National Park,86,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",
176,Cyperus pseudovegetus,Bryce National Park,108,Vascular Plant,Marsh Flatsedge,
177,Malus coronaria,Great Smoky Mountains National Park,75,Vascular Plant,Northern Crabapple,
178,Nepeta cataria,Yosemite National Park,189,Vascular Plant,Catnip,
179,Hieracium piloselloides,Bryce National Park,77,Vascular Plant,King Devil,
180,Dichanthelium dichotomum var. dichotomum,Yellowstone National Park,242,Vascular Plant,Small Panic Grass,
181,Bidens aristosa,Bryce National Park,111,Vascular Plant,Stick-Tight,
182,Secale cereale,Great Smoky Mountains National Park,82,Vascular Plant,"Cultivated Rye, Rye",
183,Rugelia nudicaulis,Yosemite National Park,120,Vascular Plant,Rugel's Ragwort,Species of Concern
184,Iva annua,Great Smoky Mountains National Park,70,Vascular Plant,Iva,
185,Bromus suksdorfii,Yellowstone National Park,243,Vascular Plant,Suksdorf's Brome,
186,Taenidia integerrima,Bryce National Park,114,Vascular Plant,"Yellow Pimpernel, Yellow Pimpernell",
187,Symphyotrichum spathulatum,Bryce National Park,110,Vascular Plant,Western Mountain Aster,
188,Heterotheca villosa var. villosa,Yellowstone National Park,276,Vascular Plant,"Hairy False Goldenaster, Hairy False Golden-Aster",
189,Pica hudsonia,Yellowstone National Park,239,Bird,"Black-Billed Magpie, Magpie",
190,Viburnum lentago,Great Smoky Mountains National Park,74,Vascular Plant,"Nannyberry, Nanny-Berry",
191,Saxifraga subapetala,Yellowstone National Park,265,Vascular Plant,Yellowstone Saxifrage,
192,Helianthella quinquenervis,Yellowstone National Park,237,Vascular Plant,"Fivenerve Helianthella, Nodding Dwarf-Sunflower, Nodding Helianthella",
193,Pteridium aquilinum var. latiusculum,Great Smoky Mountains National Park,29,Vascular Plant,Bracken Fern,
194,Sturnus vulgaris,Yellowstone National Park,233,Bird,European Starling,
195,Carex preslii,Great Smoky Mountains National Park,25,Vascular Plant,Presl's Sedge,
196,Pellaea breweri,Great Smoky Mountains National Park,73,Vascular Plant,Brewer's Cliffbrake,
197,Houstonia longifolia var. longifolia,Yellowstone National Park,254,Vascular Plant,Long-Leaved Bluets,
198,Mustela erminea,Bryce National Park,118,Mammal,"Ermine, Short Tailed Weasel",
199,Monotropa hypopithys,Yosemite National Park,154,Vascular Plant,"American Pinesap, Pine-Sap",
200,Pandion haliaetus,Yosemite National Park,134,Bird,Osprey,Species of Concern
201,Nandina domestica,Yellowstone National Park,220,Vascular Plant,"Heavenly Bamboo, Nandina",
202,Aix sponsa,Yosemite National Park,152,Bird,Wood Duck,
203,Iris missouriensis,Yosemite National Park,127,Vascular Plant,"Rocky Mountain Iris, Western Blue Flag, Wild Iris, Wildiris",Species of Concern
204,Rigiopappus leptocladus,Yellowstone National Park,266,Vascular Plant,Wireweed,
205,Trifolium aureum,Yellowstone National Park,263,Vascular Plant,Yellow Or Hop-Clover,
206,Ericameria cuneata var. cuneata,Yosemite National Park,166,Vascular Plant,Cliff Goldenbush,
207,Juncus marginatus,Great Smoky Mountains National Park,53,Vascular Plant,"Grassleaf Rush, Margined Rush",
208,Carex jamesii,Great Smoky Mountains National Park,117,Vascular Plant,"James? Sedge, Nebraska Sedge",
209,Carex gracillima,Yellowstone National Park,240,Vascular Plant,Graceful Sedge,
210,Crotalus viridis viridis,Great Smoky Mountains National Park,55,Reptile,Prairie Rattlesnake,
211,Penstemon procerus,Yellowstone National Park,215,Vascular Plant,"Littleflower Penstemon, Pincushion Beardtongue",
212,Thaspium trifoliatum var. aureum,Yosemite National Park,125,Vascular Plant,"Purple Meadow-Parsnip, Yellow Meadow-Parsnip",
213,Leucobryum glaucum,Bryce National Park,89,Nonvascular Plant,Leucobryum Moss,
214,Empidonax difficilis,Yellowstone National Park,261,Bird,Pacific-Slope Flycatcher,
215,Sonchus oleraceus,Bryce National Park,99,Vascular Plant,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",
216,Stizostedion vitreum,Great Smoky Mountains National Park,108,Fish,Walleye,
217,Heterocladium macounii,Great Smoky Mountains National Park,110,Nonvascular Plant,Macoun's Heterocladium Moss,
218,Saponaria officinalis,Great Smoky Mountains National Park,79,Vascular Plant,"Bouncing-Bet, Soapwort, Bouncing-Bet",
219,Stizostedion canadense,Bryce National Park,76,Fish,Sauger,
220,Riparia riparia,Yellowstone National Park,199,Bird,Bank Swallow,Species of Concern
221,Chasmanthium sessiliflorum,Great Smoky Mountains National Park,70,Vascular Plant,"Longleaf Spikegrass, Longleaf Woodoats",
222,Setophaga dominica,Yosemite National Park,140,Bird,Yellow-Throated Warbler,
223,Desmodium paniculatum var. paniculatum,Yellowstone National Park,206,Vascular Plant,Panicledleaf Ticktrefoil,
224,Sayornis nigricans,Yosemite National Park,128,Bird,Black Phoebe,
225,Logfia arvensis,Yosemite National Park,154,Vascular Plant,Field Cottonrose,
226,Sambucus mexicana,Yellowstone National Park,232,Vascular Plant,Mexican Elder,
227,Gratiola viscidula,Great Smoky Mountains National Park,107,Vascular Plant,Short's Hedgehyssop,
228,Populus alba,Yellowstone National Park,251,Vascular Plant,"Silver Poplar, White Poplar",
229,Galium obtusum,Yosemite National Park,114,Vascular Plant,"Blunt-Leaf Bedstraw, Blunt-Leaved Bedstraw",
230,Rosa setigera,Yosemite National Park,135,Vascular Plant,Prairie Rose,
231,Cercocarpus betuloides var. betuloides,Yellowstone National Park,269,Vascular Plant,Birch-Leaf Mountain-Mahogany,
232,Opuntia fragilis,Great Smoky Mountains National Park,57,Vascular Plant,"Brittle Cactus, Brittle Pricklypear, Fragile Cactus, Jumping Cactus, Little Pricklypear",
233,Smallanthus uvedalius,Bryce National Park,91,Vascular Plant,Hairy Leafcup,
234,Silene stellata,Bryce National Park,98,Vascular Plant,"Starry Campion, Starry Catchfly",
235,Richardsonius balteatus,Yosemite National Park,163,Fish,Redside Shiner,
236,Panicum rigidulum var. elongatum,Bryce National Park,93,Vascular Plant,"Stalked-Fruit Panic Grass, Tall Flat Panic-Grass",
237,Eriogonum prattenianum var. prattenianum,Yosemite National Park,143,Vascular Plant,Nevada City Buckwheat,
238,Doellingeria infirma,Great Smoky Mountains National Park,68,Vascular Plant,Cornel-Leaf Whitetop,
239,Agoseris aurantiaca,Yellowstone National Park,241,Vascular Plant,"Orange Agoseris, Orange-Flowered False-Dandelion",
240,Verbena hastata,Yosemite National Park,122,Vascular Plant,"Blue Verbena, Blue Vervain, Simpler's-Joy, Swamp Verbena",
241,Aster patens var. patens,Yellowstone National Park,230,Vascular Plant,Late Purple Aster,
242,Elymus glaucus ssp. glaucus,Bryce National Park,70,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
243,Fleischmannia incarnata,Bryce National Park,96,Vascular Plant,Pink Thoroughwort,
244,Sialia sialis,Great Smoky Mountains National Park,69,Bird,Eastern Bluebird,
245,Scolochloa festucacea,Bryce National Park,97,Vascular Plant,"Common Rivergrass, Rivergrass",
246,Elymus hystrix var. hystrix,Yosemite National Park,166,Vascular Plant,Eastern Bottlebrush Grass,
247,Sarracenia purpurea,Yellowstone National Park,235,Vascular Plant,Purple Pitcherplant,
248,Eriogonum ovalifolium var. nivale,Bryce National Park,149,Vascular Plant,Cushion Buckwheat,
249,Sedum sarmentosum,Great Smoky Mountains National Park,56,Vascular Plant,"Stonecrop, Stringy Stonecrop",
250,Brachydontium trichodes,Yosemite National Park,141,Nonvascular Plant,Peak Moss,
251,Geranium dissectum,Great Smoky Mountains National Park,119,Vascular Plant,Cutleaf Geranium,
252,Typha angustifolia,Bryce National Park,77,Vascular Plant,Narrowleaf Cattail,
253,Prunus hortulana,Yosemite National Park,147,Vascular Plant,Hortulan Plum,
254,Ranunculus acris,Yosemite National Park,142,Vascular Plant,"Tall Buttercup, Tall Butter-Cup",
255,Eurybia chlorolepis,Yellowstone National Park,216,Vascular Plant,Mountain Aster,
256,Sphenopholis pensylvanica,Great Smoky Mountains National Park,49,Vascular Plant,"Swamp Wedgescale, Trisetum",
257,Circaea alpina,Bryce National Park,114,Vascular Plant,"Small Enchanter's Nightshade, Smaller Enchanter's-Nightshade",
258,Erigenia bulbosa,Bryce National Park,124,Vascular Plant,Harbinger Of Spring,
259,Senecio streptanthifolius,Great Smoky Mountains National Park,69,Vascular Plant,Cleftleaf Groundsel,
260,Lasiurus blossevillii,Bryce National Park,113,Mammal,Western Red Bat,Species of Concern
261,Astragalus alpinus,Great Smoky Mountains National Park,82,Vascular Plant,Alpine Milkvetch,
262,Crataegus uniflora,Great Smoky Mountains National Park,91,Vascular Plant,Dwarf Hawthorn,
263,Streptopus lanceolatus var. roseus,Bryce National Park,99,Vascular Plant,Twistedstalk,
264,Lycopus asper,Yellowstone National Park,283,Vascular Plant,"Rough Bugleweed, Rough Water-Horehound",
265,Empidonax wrightii,Bryce National Park,116,Bird,"Gray Flycatcher, Grey Flycatcher",
266,Symphyotrichum retroflexum,Yosemite National Park,163,Vascular Plant,Rigid Whitetop Aster,
267,Ericameria cuneata var. cuneata,Bryce National Park,100,Vascular Plant,Cliff Goldenbush,
268,Mimulus laciniatus,Yellowstone National Park,239,Vascular Plant,Cutleaf Monkeyflower,
269,Senecio clarkianus,Yosemite National Park,157,Vascular Plant,Clark's Ragwort,
270,Saccharum alopecuroidum,Yosemite National Park,145,Vascular Plant,Beardgrass,
271,Picoides borealis,Yosemite National Park,43,Bird,Red-Cockaded Woodpecker,Endangered
272,Lepidium ramosissimum,Bryce National Park,91,Vascular Plant,"Manybranched Pepperweed, Pepperweed",
273,Plagiomnium ciliare,Bryce National Park,108,Nonvascular Plant,Plagiomnium Moss,
274,Malva neglecta,Yellowstone National Park,229,Vascular Plant,"Common Mallow, Dwarf Cheeseweed",
275,Amelanchier utahensis,Great Smoky Mountains National Park,66,Vascular Plant,"Utah Serviceberry, Utah Shadberry, Western Serviceberry",
276,Allium campanulatum,Yellowstone National Park,234,Vascular Plant,"Dusky Onion, Sierra Onion",
277,Carex integra,Yellowstone National Park,258,Vascular Plant,"Smoothbead Sedge, Smoothbeak Sedge",
278,Castilleja lacera,Yellowstone National Park,230,Vascular Plant,Cutleaf Indian Paintbrush,
279,Collomia heterophylla,Great Smoky Mountains National Park,49,Vascular Plant,Variableleaf Collomia,
